Name,m/z,I,I %,Res.,S/N
FA-NaOD,617.99507,6651150,1.8,313846,4.3
FA-NaOD,618.0631900000001,6457836,1.7,339327,4.1
FA-NaOD,618.08167,9768488,2.6,287908,7.4
FA-NaOD,618.08485,10835506,2.9,388995,8.5
FA-NaOD,618.1003099999999,11260517,3.0,264595,8.9
FA-NaOD,618.1035099999999,7559791,2.0,352026,5.2
FA-NaOD,618.10982,8946307,2.4,344276,6.6
FA-NaOD,618.11815,18927262,5.0,314434,16.5
FA-NaOD,618.1211900000001,27909800,7.4,332074,25.5
FA-NaOD,618.13371,13428433,3.6,331591,11.0
FA-NaOD,618.14728,9039613,2.4,310560,6.7
FA-NaOD,618.15479,20246294,5.4,321058,17.8
FA-NaOD,618.15748,26959646,7.2,312975,24.5
FA-NaOD,618.1728099999999,8918865,2.4,264976,6.5
FA-NaOD,618.18149,7206765,1.9,347377,4.8
FA-NaOD,618.19102,19963788,5.3,334087,17.5
FA-NaOD,618.1942,18431894,4.9,295982,16.0
FA-NaOD,618.2187,6544870,1.7,298921,4.2
FA-NaOD,618.22755,12920835,3.4,357159,10.5
FA-NaOD,618.23046,9449484,2.5,378876,7.1
FA-NaOD,618.96206,7250258,1.9,318975,4.9
FA-NaOD,619.05757,10005127,2.7,309899,7.6
FA-NaOD,619.07299,24574650,6.5,290535,22.1
FA-NaOD,619.07624,9374403,2.5,388908,7.0
FA-NaOD,619.08796,11036394,2.9,272267,8.6
FA-NaOD,619.0940099999999,39561980,10.5,357589,37.1
FA-NaOD,619.10925,39258928,10.5,325899,36.8
FA-NaOD,619.12444,15215455,4.1,275296,12.8
FA-NaOD,619.13028,53922676,14.4,294907,51.4
FA-NaOD,619.13964,9362321,2.5,316090,7.0
FA-NaOD,619.14553,41552804,11.1,328384,39.0
FA-NaOD,619.16039,15604692,4.2,339818,13.2
FA-NaOD,619.1667,45198312,12.0,310443,42.7
FA-NaOD,619.18202,19295258,5.1,343369,16.9
FA-NaOD,619.19709,7682123,2.0,365186,5.3
FA-NaOD,619.20304,30530654,8.1,315742,28.1
FA-NaOD,619.2395700000001,23641300,6.3,306461,21.2
FA-NaOD,619.27625,10937675,2.9,239113,8.5
FA-NaOD,620.05077,6757133,1.8,414308,4.4
FA-NaOD,620.06918,7368521,2.0,243828,5.0
FA-NaOD,620.07916,6544233,1.7,434758,4.2
FA-NaOD,620.09743,13128611,3.5,270086,10.7
FA-NaOD,620.10044,20101038,5.4,340732,17.7
FA-NaOD,620.10424,7573433,2.0,322151,5.2
FA-NaOD,620.1129900000001,10149846,2.7,371773,7.8
FA-NaOD,620.11582,17168350,4.6,370775,14.8
